name,description,category,value,type,state,max_attempts,flags,tags,type_data,hints
Web3 Sandbox,"Find an accidentally deployed code sandbox for writing smart contracts on the fly. (Difficulty Level: 1)",Broken Access Control,100,standard,visible,0,6e5badeeb63e5d3f6d2652db067187b5c0967cfa,"Web3,With Coding Challenge",,"[{""content"":""It is just as easy as finding the Score Board."",""cost"":0}]"
Blocked RCE DoS,"Perform a Remote Code Execution that would keep a less hardened application busy <em>forever</em>. (Difficulty Level: 5)",Insecure Deserialization,1000,standard,visible,0,f794e88774087c775e300beda3c0b4cd797c269b,"Danger Zone",,"[{""content"":""The feature you need to exploit for this challenge is not directly advertised anywhere."",""cost"":0},{""content"":""As the Juice Shop is written in pure Javascript٬ there is one data format that is most probably used for serialization."",""cost"":0},{""content"":""You should try to make the server busy for all eternity."",""cost"":0},{""content"":""The challenge will be solved if you manage to trigger the protection of the application against a very specific DoS attack vector."",""cost"":0},{""content"":""Similar to the \""\""Let the server sleep for some time\""\"" challenge (which accepted nothing but NoSQL Injection as a solution) this challenge will only accept proper RCE as a solution. It cannot be solved by simply hammering the server with requests. That would probably just kill your server instance."",""cost"":0}]"
CAPTCHA Bypass,"Submit 10 or more customer feedbacks within 20 seconds. (Difficulty Level: 3)",Broken Anti Automation,450,standard,visible,0,0444f13ce4a5580cf6a6219ea19e2c89b7cd1d1f,"Brute Force",,"[{""content"":""After finding a CAPTCHA bypass٬ write a script that automates feedback submission. Or open many browser tabs and be really quick."",""cost"":0},{""content"":""You could prepare 10 browser tabs٬ solving every CAPTCHA and filling out the each feedback form. Then you’d need to very quickly switch through the tabs and submit the forms in under 20 seconds total."",""cost"":0},{""content"":""Should the Juice Shop ever decide to change the challenge into \""\""Submit 100 or more customer feedbacks within 60 seconds\""\"" or worse٬ you’d probably have a hard time keeping up with any tab-switching approach."",""cost"":0},{""content"":""Investigate closely how the CAPTCHA mechanism works and try to find either a bypass or some automated way of solving it dynamically."",""cost"":0},{""content"":""Wrap this into a script (in whatever programming language you prefer) that repeats this 10 times."",""cost"":0}]"
Change Bender's Password,"Change Bender's password into <i>slurmCl4ssic</i> without using SQL Injection or Forgot Password. (Difficulty Level: 5)",Broken Authentication,1000,standard,visible,0,cec8dcc2d125c262c9434637ce7d4e834cf0a0d8,,,"[{""content"":""In previous releases this challenge was wrongly accused of being based on CSRF."",""cost"":0},{""content"":""It might also have been put into the Improper Input Validation category."",""cost"":0},{""content"":""Bender’s current password is so strong that brute force٬ rainbow table or guessing attacks will probably not work."",""cost"":0}]"
Christmas Special,"Order the Christmas special offer of 2014. (Difficulty Level: 4)",Injection,700,standard,visible,0,929646db81fdde9492b64f2d3c5fa0a3da182ad7,,,"[{""content"":""Find out how the application handles unavailable products and try to find a loophole."",""cost"":0},{""content"":""Find out how the application hides deleted products from its customers."",""cost"":0},{""content"":""Try to craft an attack string that makes deleted products visible again."",""cost"":0},{""content"":""You need to get the deleted product into your shopping cart and trigger the Checkout."",""cost"":0},{""content"":""Neither of the above can be achieved through the application frontend and it might even require (half-)Blind SQL Injection."",""cost"":0}]"
CSP Bypass,"Bypass the Content Security Policy and perform an XSS attack with <code>&lt;script&gt;alert(`xss`)&lt;/script&gt;</code> on a legacy page within the application. (Difficulty Level: 4)",XSS,700,standard,visible,0,64dec3daf0a02d4697c5fec917b8ad25862d4181,"Danger Zone",,"[{""content"":""What is even \""\""better\""\"" than a legacy page with a homegrown RegEx sanitizer? Having CSP injection issues on the exact same page as well!"",""cost"":0},{""content"":""Find a screen in the application that looks subtly odd and dated compared with all other screens."",""cost"":0},{""content"":""Before trying any XSS attacks٬ you should understand how the page is setting its Content Security Policy."",""cost"":0},{""content"":""For the subsequent XSS٬ make good use of the flaws in the homegrown sanitization based on a RegEx!"",""cost"":0}]"
Client-side XSS Protection,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> bypassing a <i>client-side</i> security mechanism. (Difficulty Level: 3)",XSS,450,standard,visible,0,237fc9b7b8c04174abe71483de6eb53c04fe9e90,"Danger Zone",,"[{""content"":""There are only some input fields in the Juice Shop forms that validate their input."",""cost"":0},{""content"":""Even less of these fields are persisted in a way where their content is shown on another screen."",""cost"":0},{""content"":""Bypassing client-side security can typically be done by either disabling it on the client (i.e. in the browser by manipulating the DOM tree) or by ignoring it completely and interacting with the backend instead."",""cost"":0}]"
Confidential Document,"Access a confidential document. (Difficulty Level: 1)",Sensitive Data Exposure,100,standard,visible,0,8d2072c6b0a455608ca1a293dc0c9579883fc6a5,"Good for Demos,With Coding Challenge",,"[{""content"":""Analyze and tamper with links in the application that deliver a file directly."",""cost"":0},{""content"":""The file you are looking for is not protected in any way. Once you found it you can also access it."",""cost"":0}]"
DOM XSS,"Perform a <i>DOM</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code>. (Difficulty Level: 1)",XSS,100,standard,visible,0,4a31a4fe0954199566e360a873802bf64d0d0a84,"Tutorial,Good for Demos,With Coding Challenge",,"[{""content"":""Look for an input field where its content appears in the HTML when its form is submitted."",""cost"":0},{""content"":""This challenge is almost indistinguishable from \""\""Perform a reflected XSS attack\""\"" if you do not look \""\""under the hood\""\"" to find out what the application actually does with the user input."",""cost"":0}]"
Database Schema,"Exfiltrate the entire DB schema definition via SQL Injection. (Difficulty Level: 3)",Injection,450,standard,visible,0,1131456a55e84fbe58f6db03c9895921c1db5b3e,"With Coding Challenge",,"[{""content"":""Find out where this information could come from. Then craft an attack string against an endpoint that offers an unnecessary way to filter data."",""cost"":0},{""content"":""Find out which database system is in use and where it would usually store its schema definitions."",""cost"":0},{""content"":""Craft a UNION SELECT attack string to join the relevant data from any such identified system table into the original result."",""cost"":0},{""content"":""You might have to tackle some query syntax issues step-by-step٬ basically hopping from one error to the next."",""cost"":0},{""content"":""As with \""\""Order the Christmas special offer of 2014\""\"" this cannot be achieved through the application frontend."",""cost"":0}]"
Deprecated Interface,"Use a deprecated B2B interface that was not properly shut down. (Difficulty Level: 2)",Security Misconfiguration,250,standard,visible,0,5fd213c8fc772846b262c307eaaa901340a195bb,"Contraption,Prerequisite",,"[{""content"":""The developers who disabled the interface think they could go invisible by just closing their eyes."",""cost"":0},{""content"":""The old B2B interface was replaced with a more modern version recently."",""cost"":0},{""content"":""When deprecating the old interface٬ not all of its parts were cleanly removed from the code base."",""cost"":0},{""content"":""Simply using the deprecated interface suffices to solve this challenge. No attack or exploit is necessary."",""cost"":0}]"
Easter Egg,"Find the hidden <a href=""https://en.wikipedia.org/wiki/Easter_egg_(media)"" target=""_blank"">easter egg</a>. (Difficulty Level: 4)",Broken Access Control,700,standard,visible,0,87af1696e5207d68cd40df414a1805fbdc233024,"Shenanigans,Contraption,Good for Demos",,"[{""content"":""If you solved one of the four file access challenges٬ you already know where to find the easter egg."",""cost"":0},{""content"":""Simply reuse the trick that already worked for the files above."",""cost"":0}]"
Email Leak,"Perform an unwanted information disclosure by accessing data cross-domain. (Difficulty Level: 5)",Sensitive Data Exposure,1000,standard,visible,0,dc09eb2b8517008ab65730f7355443a7f4bc8326,,,"[{""content"":""Try to find and attack an endpoint that responds with user information. SQL Injection is not the solution here."",""cost"":0},{""content"":""What ways are there to access data from a web application cross-domain?"",""cost"":0},{""content"":""This challenge uses an old way which is no longer recommended."",""cost"":0}]"
Empty User Registration,"Register a user with an empty email and password. (Difficulty Level: 2)",Improper Input Validation,250,standard,visible,0,e58f8a9612c60985360e904b027535262c52f9dc,,,"[{""content"":""Consider intercepting and playing with the request payload."",""cost"":0}]"
Ephemeral Accountant,"Log in with the (non-existing) accountant <i>acc0unt4nt@juice-sh.op</i> without ever registering that user. (Difficulty Level: 4)",Injection,700,standard,visible,0,9b65e390a97a9a39d0d597ab89a77179b0a7cac4,,,"[{""content"":""Try to create the needed user \""\""out of thin air\""\""."",""cost"":0},{""content"":""The user literally needs to be ephemeral as in \""\""lasting for only a short time\""\""."",""cost"":0},{""content"":""Registering normally with the user’s email address will then obviously not solve this challenge. The Juice Shop will not even let you register as acc0unt4nt@juice-sh.op٬ as this would make the challenge unsolvable for you."",""cost"":0},{""content"":""Getting the user into the database some other way will also fail to solve this challenge. In case you somehow managed to do so٬ you need to restart the Juice Shop application in order to wipe the database and make the challenge solvable again."",""cost"":0},{""content"":""The fact that this challenge is in the Injection category should already give away the intended approach."",""cost"":0}]"
Error Handling,"Provoke an error that is neither very gracefully nor consistently handled. (Difficulty Level: 1)",Security Misconfiguration,100,standard,visible,0,9c297196ecf8890bc1e900fcf3aebae8c9f9880a,"Prerequisite",,"[{""content"":""Try to submit bad input to forms. Alternatively tamper with URL paths or parameters."",""cost"":0},{""content"":""This challenge actually triggers from various possible error conditions."",""cost"":0},{""content"":""You can try to submit bad input to forms to provoke an improper error handling."",""cost"":0},{""content"":""Tampering with URL paths or parameters might also trigger an unforeseen error."",""cost"":0}]"
Expired Coupon,"Successfully redeem an expired campaign coupon code. (Difficulty Level: 4)",Improper Input Validation,700,standard,visible,0,12703f16a02e150ef92de329ce57539e53c6aac7,,,"[{""content"":""Try to identify past special event or holiday campaigns of the shop first."",""cost"":0},{""content"":""Look for clues about the past campaign or holiday event somewhere in the application."",""cost"":0},{""content"":""Solving this challenge does not require actual time traveling."",""cost"":0}]"
Extra Language,"First you should find out how the languages are technically changed in the user interface. (Difficulty Level: 5)",Broken Anti Automation,1000,standard,visible,0,9bb1be0fc245910b356fdac4e78e315d58d810af,"Brute Force",,"[{""content"":""First you should find out how the languages are technically changed in the user interface."",""cost"":0},{""content"":""Guessing will most definitely not work in this challenge."",""cost"":0},{""content"":""Brute force is not the only option for this challenge٬ but a perfectly viable one."",""cost"":0},{""content"":""Investigate online what languages are actually available."",""cost"":0}]"
Five-Star Feedback,"Get rid of all 5-star customer feedback. (Difficulty Level: 2)",Broken Access Control,250,standard,visible,0,78231b75c0b2180b7e964dcbb1ab3c3f58639f2e,,,"[{""content"":""Once you found admin section of the application٬ this challenge is almost trivial."",""cost"":0},{""content"":""Nothing happens when you try to delete feedback entries? Check the JavaScript console for errors!"",""cost"":0}]"
Forged Coupon,"Forge a coupon code that gives you a discount of at least 80%. (Difficulty Level: 6)",Cryptographic Issues,1350,standard,visible,0,10e04eb4104bd61f5fafc77c844d4d70b3f33f08,"Good for Demos,Code Analysis",,"[{""content"":""Try either a) a knowledgeable brute force attack or b) reverse engineering or c) some research in the cloud."",""cost"":0},{""content"":""One viable solution would be to reverse-engineer how coupon codes are generated and craft your own 80% coupon by using the same (or at least similar) implementation."",""cost"":0},{""content"":""Another possible solution might be harvesting as many previous coupon as possible and look for patterns that might give you a leverage for a brute force attack."",""cost"":0},{""content"":""If all else fails٬ you could still try to blindly brute force the coupon code field before checkout."",""cost"":0}]"
Forged Feedback,"Post some feedback in another user's name. (Difficulty Level: 3)",Broken Access Control,450,standard,visible,0,b3245d86c5b5a6e10a1319aebced515c1763b754,"Tutorial",,"[{""content"":""You can solve this by tampering with the user interface or by intercepting the communication with the RESTful backend."",""cost"":0},{""content"":""To find the client-side leverage point٬ closely analyze the HTML form used for feedback submission."",""cost"":0},{""content"":""The backend-side leverage point is similar to some of the XSS challenges found in OWASP Juice Shop."",""cost"":0}]"
Forged Review,"Post a product review as another user or edit any user's existing review. (Difficulty Level: 3)",Broken Access Control,450,standard,visible,0,2d542917ab9cd27314b53b9c85f956af461a550d,"With Coding Challenge",,"[{""content"":""Observe the flow of product review posting and editing and see if you can exploit it."",""cost"":0},{""content"":""This challenge can be solved by using developers tool of your browser or with tools like postman."",""cost"":0},{""content"":""Analyze the form used for review submission and try to find a leverage point."",""cost"":0},{""content"":""This challenge is pretty similar to \""\""Post some feedback in another user’s name\""\"" challenge."",""cost"":0}]"
Forged Signed JWT,"Forge an almost properly RSA-signed JWT token that impersonates the (non-existing) user <i>rsa_lord@juice-sh.op</i>. <em>(This challenge is <strong>potentially harmful</strong> on Windows!)</em> (Difficulty Level: 6)",Vulnerable Components,1350,standard,visible,0,b333748beae429d9459da79ef6b1c4ba492f69e9,,,"[{""content"":""This challenge is explicitly not about acquiring the RSA private key used for JWT signing."",""cost"":0},{""content"":""The three generic hints from Forge an essentially unsigned JWT token also help with this challenge."",""cost"":0},{""content"":""Instead of enforcing no encryption to be applied٬ try to apply a more sophisticated exploit against the JWT libraries used in the Juice Shop."",""cost"":0},{""content"":""Getting your hands on the public RSA key the application employs for its JWTs is mandatory for this challenge."",""cost"":0},{""content"":""Finding the corresponding private key should actually be impossible٬ but that obviously doesn’t make this challenge unsolvable."",""cost"":0},{""content"":""Make sure your JWT is URL safe!"",""cost"":0}]"
Forgotten Developer Backup,"Access a developer's forgotten backup file. (Difficulty Level: 4)",Sensitive Data Exposure,700,standard,visible,0,dad737329153068527159005db4eb139e86e76ba,"Contraption,Good for Demos,Prerequisite",,"[{""content"":""You need to trick a security mechanism into thinking that the file you want has a valid file type."",""cost"":0},{""content"":""Analyze and tamper with links in the application that deliver a file directly."",""cost"":0},{""content"":""The file is not directly accessible because a security mechanism prevents access to it."",""cost"":0},{""content"":""You need to trick the security mechanism into thinking that the file has a valid file type."",""cost"":0},{""content"":""For this challenge there is only one approach to pull this trick."",""cost"":0}]"
Forgotten Sales Backup,"Access a salesman's forgotten backup file. (Difficulty Level: 4)",Sensitive Data Exposure,700,standard,visible,0,9854fa972c745fa0e8a55f0687528b1f483856b1,"Contraption",,"[{""content"":""You need to trick a security mechanism into thinking that the file you want has a valid file type."",""cost"":0},{""content"":""Analyze and tamper with links in the application that deliver a file directly."",""cost"":0},{""content"":""The file is not directly accessible because a security mechanism prevents access to it."",""cost"":0},{""content"":""You need to trick the security mechanism into thinking that the file has a valid file type."",""cost"":0}]"
Frontend Typosquatting,"<a href=""/#/contact"">Inform the shop</a> about a <i>typosquatting</i> imposter that dug itself deep into the frontend. (Mention the exact name of the culprit) (Difficulty Level: 5)",Vulnerable Components,1000,standard,visible,0,5d88f4080ce3baa81f32621d3a3440c8c718a302,,,"[{""content"":""This challenge has nothing to do with mistyping web domains. There is no conveniently misplaced file helping you with this one either. Or is there?"",""cost"":0},{""content"":""This challenge has nothing to do with URLs or domains."",""cost"":0},{""content"":""Other than for its legacy companion٬ combing through the package.json.bak does not help for this challenge."",""cost"":0}]"
GDPR Data Erasure,"Log in with Chris' erased user account. (Difficulty Level: 3)",Broken Authentication,450,standard,visible,0,22ed55ea33b596ba50c67235264769e28d5272b3,,,"[{""content"":""Turns out that something is technically and legally wrong with the implementation of the \""\""right to be forgotten\""\"" for users."",""cost"":0},{""content"":""Trying out the Request Data Erasure functionality might be interesting٬ but cannot help you solve this challenge in real time."",""cost"":0},{""content"":""If you have solved the challenge Retrieve a list of all user credentials via SQL Injection you might have already retrieved some information about how the Juice Shop \""\""deletes\""\"" users upon their request."",""cost"":0},{""content"":""What the Juice Shop does here is totally incompliant with GDPR. Luckily a 4% fine on a gross income of 0$ is still 0$."",""cost"":0}]"
GDPR Data Theft,"Steal someone else's personal data without using Injection. (Difficulty Level: 4)",Sensitive Data Exposure,700,standard,visible,0,4e606bcbc4a3ddb154a1e296cba3dca34889a5be,,,"[{""content"":""Trick the regular Data Export to give you more than actually belongs to you."",""cost"":0},{""content"":""You should not try to steal data from a \""\""vanilla\""\"" user who never even ordered something at the shop."",""cost"":0},{""content"":""As everything about this data export functionality happens on the server-side٬ it won’t be possible to just tamper with some HTTP requests to solve this challenge."",""cost"":0},{""content"":""Inspecting various server responses which contain user-specific data might give you a clue about the mistake the developers made."",""cost"":0}]"
HTTP-Header XSS,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> through an HTTP header. (Difficulty Level: 4)",XSS,700,standard,visible,0,c37da14686b69a220fd9febd09bb9593e7d0539f,"Danger Zone",,"[{""content"":""Finding a piece of displayed information that could originate from an HTTP header is part of this challenge."",""cost"":0},{""content"":""You might have to look into less common or even proprietary HTTP headers to find the leverage point."",""cost"":0},{""content"":""Adding insult to injury٬ the HTTP header you need will never be sent by the application on its own."",""cost"":0}]"
Imaginary Challenge,"Solve challenge #999. Unfortunately, this challenge does not exist. (Difficulty Level: 6)",Cryptographic Issues,1350,standard,visible,0,3eb1eb054dc55a13772007ac980ca5bf310ee773,"Shenanigans,Code Analysis",,"[{""content"":""You need to trick the hacking progress persistence feature into thinking you solved challenge #999."",""cost"":0},{""content"":""Find out how saving and restoring progress is done behind the scenes."",""cost"":0},{""content"":""Deduce from all available information (e.g. the package.json.bak) how the application encrypts and decrypts your hacking progress."",""cost"":0},{""content"":""Other than the user’s passwords٬ the hacking progress involves an additional secret during its encryption."",""cost"":0},{""content"":""What would be a really stupid mistake a developer might make when choosing such a secret?"",""cost"":0}]"
Leaked Access Logs,"Dumpster dive the Internet for a leaked password and log in to the original user account it belongs to. (Creating a new account with the same password does not qualify as a solution.) (Difficulty Level: 5)",Sensitive Data Exposure,1000,standard,visible,0,0d81e34249c9ae82ba80693a26b4e2bdb1f764f0,"OSINT",,"[{""content"":""As the challenge name implies٬ your task is to find some leaked access logs which happen to have a fairly common format."",""cost"":0},{""content"":""A very popular help platform for developers might contain breadcrumbs towards solving this challenge."",""cost"":0},{""content"":""The actual log file was copied & paste onto a platform often used to share data quickly with externals or even just internal peers."",""cost"":0},{""content"":""Once you found and harvested the important piece of information from the log٬ you could employ a technique called Password Spraying to solve this challenge."",""cost"":0}]"
Leaked Unsafe Product,"Identify an unsafe product that was removed from the shop and <a href=""/#/contact"">inform the shop</a> which ingredients are dangerous. (Difficulty Level: 4)",Sensitive Data Exposure,700,standard,visible,0,19ebb3402eb75df18d076bd6a15ed1521d36e306,"Shenanigans,OSINT",,"[{""content"":""Your own SQLi and someone else's Ctrl-V will be your accomplices in this challenge!"",""cost"":0},{""content"":""You must first identify the \""\""unsafe product\""\"" which ist not available any more in the shop."",""cost"":0},{""content"":""Solving the \""\""Order the Christmas special offer of 2014\""\"" challenge might give it to you as by-catch."",""cost"":0},{""content"":""The actual data you need to solve this challenge was leaked on the same platform that was involved in the \""\""Dumpster dive the Internet for a leaked password and log in to the original user account it belongs to\""\"" challenge."",""cost"":0},{""content"":""Google is a particularly good accomplice in this challenge."",""cost"":0}]"
Legacy Typosquatting,"<a href=""/#/contact"">Inform the shop</a> about a <i>typosquatting</i> trick it has been a victim of at least in <code>v6.2.0-SNAPSHOT</code>. (Mention the exact name of the culprit) (Difficulty Level: 4)",Vulnerable Components,700,standard,visible,0,b01a1ae56491c0c3d6b8d6e0264d099bda573758,,,"[{""content"":""This challenge has nothing to do with mistyping web domains. Investigate the forgotten developer's backup file instead."",""cost"":0},{""content"":""Investigating the forgotten developer’s backup file might bring some insight."",""cost"":0},{""content"":""\""\""Malicious packages in npm\""\"" is a worthwhile read on Ivan Akulov’s blog."",""cost"":0}]"
Login Admin,"Log in with the administrator's user account. (Difficulty Level: 2)",Injection,250,standard,visible,0,690fa3247a99d651e0b26f947baf0b79b4f404a9,"Tutorial,Good for Demos,With Coding Challenge",,"[{""content"":""The challenge description probably gave away what form you should attack."",""cost"":0},{""content"":""If you happen to know the email address of the admin already٬ you can launch a targeted attack."",""cost"":0},{""content"":""You might be lucky with a dedicated attack pattern even if you have no clue about the admin email address."",""cost"":0},{""content"":""If you harvested the admin’s password hash٬ you can of course try to attack that instead of using SQL Injection."",""cost"":0},{""content"":""Alternatively you can solve this challenge as a combo with the Log in with the administrator’s user credentials without previously changing them or applying SQL Injection challenge."",""cost"":0}]"
Login Amy,"Log in with Amy's original user credentials. (This could take 93.83 billion trillion trillion centuries to brute force, but luckily she did not read the ""One Important Final Note"") (Difficulty Level: 3)",Sensitive Data Exposure,450,standard,visible,0,5444962659bf8d72f6322530b18d6b9123fbaeec,"OSINT",,"[{""content"":""This challenge will make you go after a needle in a haystack."",""cost"":0},{""content"":""As with so many other characters from Futurama this challenge is of course about logging in as Amy from that show."",""cost"":0},{""content"":""Did you know that Amy is married to an alien named Kif?"",""cost"":0},{""content"":""The challenge description contains a few sentences which give away some information how Amy decided to strengthen her password."",""cost"":0},{""content"":""Obviously٬ Amy - being a little dimwitted - did not put nearly enough effort and creativity into the password selection process."",""cost"":0}]"
Login Bender,"Log in with Bender's user account. (Difficulty Level: 3)",Injection,450,standard,visible,0,5ff5052e879e6fef64124e64c82c84ebc809c6c4,"Tutorial,With Coding Challenge",,"[{""content"":""The challenge description probably gave away what form you should attack."",""cost"":0},{""content"":""You need to know (or smart-guess) Bender’s email address so you can launch a targeted attack."",""cost"":0},{""content"":""Bender's password hash might not help you very much."",""cost"":0},{""content"":""In case you try some other approach than SQL Injection٬ you will notice that Bender’s password hash is not very useful."",""cost"":0}]"
Login Bjoern,"Log in with Bjoern's Gmail account <i>without</i> previously changing his password, applying SQL Injection, or hacking his Google account. (Difficulty Level: 4)",Broken Authentication,700,standard,visible,0,5fb1dbd45670d209e1c48ed59222c2bca732d354,"Code Analysis",,"[{""content"":""The security flaw behind this challenge is 100% OWASP Juice Shop's fault and 0% Google's."",""cost"":0},{""content"":""One way to light up this challenge in green on the score board٬ is to be Bjoern Kimminich. In that case٬ just log in with your Google account to automatically solve this challenge! Congratulations!"",""cost"":0},{""content"":""Most likely you are not Bjoern Kimminich٬ so instead you might want to take detailed look into how the OAuth login with Google is implemented."",""cost"":0},{""content"":""It could bring you some insight to register with your own Google account and analyze closely what happens behind the scenes."",""cost"":0}]"
Login Jim,"Log in with Jim's user account. (Difficulty Level: 3)",Injection,450,standard,visible,0,de0806c1e34a5783b4b1672fa4eed440a9912378,"Tutorial,With Coding Challenge",,"[{""content"":""The challenge description probably gave away what form you should attack."",""cost"":0},{""content"":""You need to know (or smart-guess) Jim’s email address so you can launch a targeted attack."",""cost"":0},{""content"":""If you harvested Jim’s password hash٬ you can try to attack that instead of using SQL Injection."",""cost"":0}]"
Login MC SafeSearch,"Log in with MC SafeSearch's original user credentials without applying SQL Injection or any other bypass. (Difficulty Level: 2)",Sensitive Data Exposure,250,standard,visible,0,bb105418e73708ceccf1a7b2491f434b8f5230e4,"Shenanigans,OSINT",,"[{""content"":""MC SafeSearch is a rapper who produced the song \""\""Protect Ya' Passwordz\""\"" which explains password & sensitive data protection very nicely."",""cost"":0},{""content"":""After watching the music video of this song٬ you should agree that even ⭐⭐ is a slightly exaggerated difficulty rating for this challenge."",""cost"":0}]"
